program,link,text
e@UBCV,https://entrepreneurship.ubc.ca/,"We are a part of Innovation UBC, helping UBC entrepreneurs change the world by unlocking the potential of promising UBC startups. We bring entrepreneurial thinking and leadership skills to UBC’s population of students, staff, and faculty, providing them the opportunity to explore a future in entrepreneurship and innovation. As one of the top 40 research universities globally, UBC is strengthened by its rich bedrock of interdisciplinary collaborations across faculties and institutes that bring together entrepreneurial thinkers looking to drive impact through venture creation. Our Philosophy is Venture-Centric Journey. Over our cumulative years of supporting more than 500 ventures, we’ve learned the venture-building journey is varied. Our methodology embodies venture-centric thinking to meet ventures where they are. Whether you are exploring entrepreneurship, looking to incubate your idea, or ready to accelerate building your venture, we offer a ""made by e@UBC for e@UBC ventures"" framework to help you launch your idea to impact. Our venture-centric journey approach is rooted in an objective, goal-based matrix that helps us ensure equity, diversity, and inclusion are at the heart of what we do in our efforts to help you succeed. Venture Founder Applications Now Open. Apply by July 5th and take your venture idea to the next level. 1900 full-time jobs created. $1.75B+ capital raised. $740M+ revenue generated. 742 ventures supported. ARCA Wins Startup of the Year in Foresight’s BC Cleantech Awards. Building Climate Governance featuring Canada Climate Law Initiative. June Women Innovators Meetup at UBC Robson Square. We are located across UBC Point Grey and Robson Square Campus. We acknowledge that the UBC Point Grey and Robson Square campuses are situated on the traditional, ancestral, and unceded territory of the xʷməθkʷəy̓əm (Musqueam), Skwxwú7mesh (Squamish), Stó:lō, and Səl̓ílwətaʔ/Selilwitulh (Tsleil-Waututh) Nations. entrepreneurship@UBC propels UBC innovations out into the world through venture creation, providing UBC students, faculty members, and staff with the resources, networks, and funding they need to succeed. We are a part of Innovation UBC in the Vice-President, Research and Innovation (VPRI) portfolio."
e@UBCV,https://entrepreneurship.ubc.ca/engage-us/venture-founder,"Venture Founder in entrepreneurship@UBC. Transform your invention into impact through Venture Founder. Venture Founder supports UBC’s research community of faculty, students, and postdoctoral fellows who want to build transformative ventures based on innovative solutions to critical and often global problems. Take your invention to the next level of global impact with an approach that recognizes that every venture-building journey is unique based on industry, team expertise, and market opportunity. Venture Founder is here to help you validate the foundation of your startup and begin to build traction in your venture’s industry ecosystem. Our methodology embodies critical, user-centric thinking and time-tested creative problem-solving techniques that help us meet venture teams where they are in their journey. At the heart of our venture-centric thinking is our ""made at UBC, for UBC ventures"" 4 Ts Venture Playbook, which provides you, your venture team members, and our advisory community with an objective, goal-based framework, ensuring that accountability, equity, diversity, and inclusion are at the heart of our engagement with you. How it works: In Venture Founder, you will work directly with experienced startup entrepreneurs and experts from entrepreneurship@UBC’s Mentor Network of over 250 members. Mentors will encourage you to push the boundaries of your thinking and help ensure you have the necessary building blocks of your venture opportunity rooted in a strong foundation, preparing you for operationalizing your venture. Here, you will have the opportunity to build your team’s capacity in leadership, management, and business skills. As part of a Venture Founder team, you will work, with support from your mentors, to define and validate your venture opportunity through 16 weeks of experiential workshops covering fundamental and operational topics. Defining your venture business model and crafting a compelling story. Refining your value proposition(s), including defining initial market segments and the customer buying process. Estimating the market potential by using top-down and bottom-up market sizing methodologies. Developing and practicing effective hypothesis testing techniques. Building the core ingredients and fluency in financial literacy. Learning the basics for team building, branding and marketing, and storytelling. The 4 Ts Venture Playbook: The 4 Ts Venture Playbook is a made-by-UBC for UBC founders, focusing on building and developing the critical elements of a successful startup: Team, Technology, Traction, and Treasury. Recognizing that each venture journey is unique, the 4 Ts Playbook is designed to help Venture Founders and entrepreneurship@UBC map their unique venture journey, supporting founders with a wealth of knowledge, experts, and networks. With the 4 Ts Playbook, entrepreneurship@UBC’s goal is to help venture founders evolve as entrepreneurial leaders and grow transformative, impactful, and sustainable companies. Our Venture Code of Conduct illustrates the core expectations we have for ourselves and for every venture within our Venture Programs. entrepreneurship@UBC has developed three Venture Studios for entrepreneurs in our community solving problems in human health, climate change, and social impact. Our studios add an additional layer of programming, resources, and community building to help teams in these areas navigate the nuances of their respective industries. Membership in a Venture Studio is conferred when an applicant is invited to join Venture Founder. There is no separate entrance process to participate in our studios. entrepreneurship@UBC strongly recommends that a team of at least two participants apply to join Venture Founder to pursue a start-up opportunity, due to the intensity of the Venture Founder process. Solo founders will be considered on a case-by-case basis. 
Your start-up opportunity should be based on a UBC Invention unless you are a current undergraduate or graduate student (per above). Not sure if your venture qualifies as a UBC Invention? Check out this resource to help you assess. If you’re still uncertain, please submit your request to apply and we’ll meet with you to discuss it. Climate Venture Studio: For ventures tackling a widespread climate issue. Human Health Venture Studio: For ventures with transformative human health innovations. Social Venture Studio: For ventures with solutions to a pressing social problem."
e@UBCV,https://entrepreneurship.ubc.ca/engage-us/venture-studios,"Catalyzing venture opportunities across climate, human health, and social impact. In early 2021, entrepreneurship@UBC launched the Venture Studio concept to support UBC entrepreneurs in prominent industries: Climate, Human Health, and Social Impact. The Venture Studios provide additional resources such as mentors, EiRs, talent recruitment, and programming, on top of our foundational Venture Founder and HATCH Venture Builder programs. Each studio brings specialized knowledge in market opportunities, business models, sales, and fundraising to help ventures gain traction and embed themselves within their industry verticals. The Studios are community and knowledge-building opportunities for ventures to further their skillsets, connections, and expertise in their respective industries. Teams who are part of Venture Founder CORE or Lab2Launch can join the Venture Studios without a separate entrance process. Once accepted, teams will learn about engagement opportunities within each of the Climate, Human Health, and Social Venture Studios. Learn more about Venture Founder and application deadlines. The Studios were designed with our community at the center, encouraging members across our ecosystem to engage with us through Studio-based events and opportunities. Subscribe to our Venture Studio newsletter to stay up to date on the latest happenings in the community!"
e@UBCV,https://entrepreneurship.ubc.ca/engage-us/hatch-venture-builder,"The HATCH Venture Builder is a collaborative initiative between entrepreneurship@UBC and the Institute for Computing, Information and Cognitive Systems (ICICS). It supports interdisciplinary UBC innovators building ventures with social, environmental, and economic impact. Together, both organizations provide entrepreneurs with guidance and resources to achieve their greatest potential. The HATCH Venture Builder supports teams with dedicated EiR and advisory teams, regular quarterly check-ins, continued venture-building programming, office space, and access to shared wet lab space or makerspace. HATCH ventures spend 12 to 18 months working towards goals such as closing a Seed or Series A investment, completing a major commercial partnership, achieving repeatable sales, or completing an acquisition. HATCH ventures have opportunities to raise brand awareness, build an investor network, and access capital through events like the Fall Venture Showcase and Spring Investor Showcase. entrepreneurship@UBC and ICICS provide venture teams with space, resources, and expertise to advance their businesses, whether building a relationship with a first customer or securing a major investor. Facilities include ICICS' makerspace, collaborative office spaces, technical interns, and an alumni network. Ventures also have access to office space at UBC Robson Square and hot-desking at the Graham Lee Innovation Centre. A minimum of two committed team members, with at least one full-time and a plan for the second to transition to full-time. Demonstrating progress on business milestones. Incorporated venture with legal counsel, insurance, and an advisory board. Fully developed product concept with proof-of-concept (TRL Level 6). Clear product-market fit and problem definition validated with customer archetypes. Sustainable business and financial model. Vision for scalable strategy or ""exit."" Ventures in the HATCH Venture Builder have access to over 10,000 square feet of office and maker space within ICICS, office and meeting space at Robson Square, and hot-desking at the Graham Lee Innovation Centre. The HATCH Makerspace and wet lab space support testing and launching innovative products, with guidance from an onsite technician. Ventures attend workshops on corporate value/vision articulation, team building, revenue and business modeling, fundraising, leadership, and management skills. Access to the CEO Master Mind advanced workshop series and dedicated Entrepreneurs in Residence (EiRs) and Executives in Residence (XiRs) provide additional support. Ventures also benefit from internship programs and access to the Concept Fund for pilot development and market access opportunities. Network development is facilitated through introductions to investors, funders, advisors, and industry executives at various showcases and events."
e@UBCV,https://entrepreneurship.ubc.ca/engage-us/internship-program,"Gain real-world experience working as a consultant for our venture portfolio. entrepreneurship@UBC's Venture Development Specialist Internship Program enables UBC Sauder students to broaden their experience in a thriving community of entrepreneurs and dive into BC’s tech and startup industry, working with the next generation of innovators. Venture Development Specialists work with ventures across our portfolio, gaining familiarity with emerging industries and cutting-edge innovations in technology, science, climate, human health, social impact, and beyond. The role is dynamic, involving projects such as identifying new markets, customer validation, building financial models, creating UI and UX designs, and developing marketing campaigns. We seek candidates with industry or academic experience in business development, sales and marketing, market research/analysis, and financial modeling. Additionally, candidates should have an open, learning mindset, proactive project management skills, and the ability to balance multiple demands and expectations."
e@UBCV,https://entrepreneurship.ubc.ca/engage-us/credit-courses,"Explore a future in entrepreneurship and innovation at UBC. Learn from seasoned entrepreneurs and academic experts through approved for-credit courses provided by the UBC Sauder School of Business and the Faculty of Applied Science. Designed for current UBC students curious about learning the foundations of building a venture, you can find an option that is right for you. Entrepreneurship COMM 280: Teaches you the foundations of how to build a business. New Venture Design COMM 466/APSC 486: Helps you work on building a viable product prototype and business plan. Innovation Leadership COMM 383: Introduces frameworks from the social sciences that are useful for understanding organizational innovation processes. New Enterprise Development COMM 497: Covers problems and experiences encountered in starting, developing, and managing new enterprises. Technology Entrepreneurship BAEN 506/APSC 541: Provides graduate students with an experience-based introduction into the lean start-up process. Entrepreneurial Thinking for Applied Scientists APSC 540: Covers issues and case studies in creating and running engineering ventures and projects."
e@UBCV,https://entrepreneurship.ubc.ca/engage-us/black-advisory-hub,"About Black Advisory Hub (BAH): The University of British Columbia is pleased to partner with the Casa Foundation to launch the Black Advisory Hub (BAH) in Western Canada. The Casa Foundation has been awarded funding from the Government of Canada’s Black Entrepreneurship Program to execute and deliver the Black Advisory Hub, a national program across Canada to support Black entrepreneurs in starting and growing their businesses. Casa initiatives include business fundamentals training, mentorship, entrepreneurial programming, networking events, webinars, and workshops that provide resources and opportunities for Black entrepreneurs, and support for Black-led businesses. entrepreneurship@UBC will be the delivery partner for the BAH program and related services at UBC. The goal of the BAH program is to deliver national services over four years to support 8,500 entrepreneurs and 750 Black-led businesses, while creating 175 new businesses and an estimated 1,000 jobs. The Casa Foundation identified the University of British Columbia as an academic anchor, and entrepreneurship@UBC specifically as a partner, to help them connect with and support BIPOC entrepreneurs at UBC and the broader regional ecosystem on the West Coast. We also want to increase Black representation at entrepreneurship@UBC in the various start-up and founder programs."
e@UBCV,https://entrepreneurship.ubc.ca/engage-us/discovery-foundation,"The University of British Columbia is pleased to partner with the Discovery Foundation to help strengthen how UBC founders support Indigenous engagement activities, specifically in building sustainable relationships that generate positive impacts for the communities they aspire to serve. The Discovery Foundation has awarded funding to enable entrepreneurship@UBC to focus on nurturing Indigenous partnerships and collaboration areas rooted in Truth & Reconciliation. Foundation Understanding of Truth and Reconciliation: Educational workshops to provide foundation knowledge, enabling entrepreneurs to integrate these principles into their company-building practices. Relationship Building with Indigenous Communities: Establishing collaborations between UBC scientist-entrepreneurs and First Nation communities to co-identify critical climate issues, promoting sustainable and culturally sensitive practices. Speaker Series with Indigenous Leaders and Entrepreneurs: Offering insights into historical contexts and future opportunities, encouraging dialogue, mutual understanding, and collaboration. About the Discovery Foundation: The goal of the Discovery Foundation initiative is to develop a critical foundational understanding of Truth & Reconciliation across entrepreneurship@UBC for existing members and incoming venture teams. The initiative aims to build relationships with Indigenous communities by establishing collaborations between UBC scientist-entrepreneurs and First Nation communities to address critical climate issues."
e@UBCV,https://entrepreneurship.ubc.ca/engage-us/job-board,"Gain valuable experience working for a startup in our portfolio. Whether you're looking for experience building a venture or wanting to tap into the entrepreneurial community at UBC, there are plenty of early-stage companies looking to hire. Working for a venture is a great way to gain startup experience, make an impact, and learn about what it takes to build a sustainable company. Interns that have worked with our portfolio have gone on to pursue various endeavors, including joining the company full-time, translating their learnings to industry, or starting their own venture-building journey. The opportunities for growth are endless."
e@UBCV,https://entrepreneurship.ubc.ca/engage-us/your-application-journey-0,"Take the next step by applying to Venture Founder! We are dedicated to creating exceptional experiences and outcomes for UBC entrepreneurs. The first step is submitting your request to apply to Venture Founder. Below, you can learn more about each step and what you can expect during the application process. The form involves in-depth questions about your team composition, initial traction, value proposition, technology, and funding situation. After submission, it will be reviewed by our evaluation team. Shortlisted candidates will be invited to interview with our team, where we will ask more about your solution and interest in the program. Candidates will be notified of their acceptance status following the interview. The Venture Founder Journey begins with rigorous onboarding, including orientation and social events to meet the wider cohort, entrepreneurship@UBC team, and mentors, along with a review of the curriculum syllabus and expected commitment. The Venture Founder experience consists of 16 weekly sessions over 16 weeks, with online sessions lasting 3.5 hours and certain sessions held in person. 16 sessions over 3 months, with a weekly commitment of up to 10 hours, including attending sessions, prep and homework, team or mentor meetings, and conducting Discovery Interviews. participants are expected to be committed to pursuing the creation of a start-up. Session preparation, attendance, and participation are mandatory for maintaining membership in Venture Founder. Program participants are evaluated for fit and commitment regularly."
