,Course code,Course Name,Learning Objectives,Course Description and Topics,Assignment Descriptions,
  Sauder Courses,COMM 280 (102-103/201-202),Entrepreneurship,"Understand key considerations, opportunities and challenges for the entrepreneur. Gain experience with and access to core entrepreneurial processes, tools and resources. Explore your own potential as an entrepreneur. Work with a preliminary outline of what your own innovative entrepreneurial venture might look like.","Venturing In: This first module will introduce you to some of the “big picture” concepts of entrepreneurship as it relates to you, individually.  We will look at what motivates people to pursue entrepreneurship, how people deal with risk, and reflect on inspiring and cautionary tales of entrepreneurs, among others.  In this module we will focus on how you think and feel about entrepreneurship, based on what you know now. Testing Ideas: The next module deals with one of the most challenging parts of early entrepreneurship: coming up with an idea.  In this module we will focus on where ideas come from and how they develop.  An important part of this module will be to move beyond just an “interesting” idea to an idea with a viable business approach.   What is your value proposition?  How will you satisfy your customer’s needs?  Do enough people want this product/service to be worth the time, effort, and money you will put into it. Building It Out: Assuming your idea is sound, what happens next?  What will your company and product/service be about?  How will people interface with you to buy your product/service?  In this module we will examine how you build a brand identity, come up with a go-to-market strategy, and develop a roadmap to strategically plan your future. Founder’s Decisions: In this module, we will focus on some of the key decisions a founder of a new company will face.  These include building an initial team, navigating legal steps, finding advisors, and deciding on the core vision and mission of the company (e.g., social and environmental goals).  Being surrounded by a great team and a set of key mentors is one of the most important aspects of any successful company.  Knowing what it is you are trying to accomplish and why, is another. Money Matters: In the final module we will examine some core concepts and principles behind money in entrepreneurial ventures.  This includes early and venture capital financing, developing a business module and plan, understanding revenue and pricing, and company equity (i.e., ownership shares). 
 ",e-Portfolio (ideas). Key Concept Tests Assessment. Idea Showcase. Participation,
,COMM 280 (101 + 203),Entrepreneurship,"Explore your own potential as an entrepreneur and intrapreneur. Understand key considerations, opportunities and challenges for entrepreneurs and innovators. Gain experience with common entrepreneurial methods, tools and resources. Develop an initial plan for an innovative entrepreneurial venture.","Intro to Entrepreneurship, Entrepreneurial Traits and Types, Venture Teaming, Value Proposition, Proposition Testing, Customer Discovery, Customer Relationships, Key Activities, Key Resources, Key Partners, Financial Models, Business Models, The Art of Storytelling ","Individual Reflection Paper: Journaling is an important activity to reflect on personal learning experiences, record meaningful concepts and develop your genuine voice. Students will provide a short post/paper highlighting one (1) key takeaway from the assigned reading(s) and/or weekly in-class activities. Individual Key Concepts Test: The two key concept assessments are tests based on content taken directly from in-class discussion, the readings, the class slides, guest speaker content and any additional required reading assigned.  Questions will NOT come from optional reading. Team Project Prototypes: Prototyping is a core and critical concept for entrepreneurs. Prototyping involves experimenting with rough concepts and translating them into tangible outputs for feedback and testing. Students will form small startup teams (3-5) based on aligned/interested problem>idea spaces. Startup teams will generate prototypes (draft outputs): customer personas, product/service prototypes and business model canvas. The prototypes will be iterated, refined and integrated into the final group project. Team/Group Final Project: Successful entrepreneurs/intrapreneurs are storytellers. Startup student teams will summarize and synthesize their Startup journey of hypotheses pivots, simple market research insights, product/service prototype feedback, and high-level financial and go to market plan. The teams will follow the marketdriven innovation process and will present their Startup story: comprised of an elevator pitch, product/service idea and associated business model. Group project proposals and presentations will be judged on their market desirability, resource feasibility and financial viability.  ",
,COMM 382/COMR 382,Economics of Entrepreneurship and Innovation,Analyze the underlying economic forces that generate entrepreneurial opportunities and that provide new ventures with the potential to succeed. Design competitive strategies for taking advantage of entrepreneurial opportunities and for introducing innovations into markets.Recognize disruptive innovation and the threats and opportunities it represents. Be equipped to meet the challenges of enterprise growth,"Having the capacity to innovate is critical to entrepreneurial success. This course builds on the fundamentals of economics, entrepreneurship and strategic management that you have learnt in previous courses and presents concepts most relevant to innovation-driven enterprises: those ventures that have potential for high revenue growth and that are increasingly important in today’s knowledge economy. We will study the opportunities associated with disrupting existing market environments, and the internal challenges of building new organizational capabilities. We will also look closely at the role of innovation in business in general. You will learn a number of conceptual models and the course involves extensive classroom discussions of business case studies to understand the application of theory and to develop critical thinking skills. Concepts: Utility theory, risk, incentives, market failure, economies of learning/scale/scope, elasticities, platforms. Key economic concepts: Utility theory, risk, incentives, market failure, economies of learning/scale/scope, elasticities, platforms. Entrepreneurship strategy: Values-based strategy, industry profitability and competitive analysis; emergent strategic thinking. New Venture Simulation. Entrepreneurship strategy: Resource-based view of strategy; cost and differentiation advantage; Coase’s theory of the firm. Innovation Strategy: Appropriating value and profiting from innovation Types of innovation, incumbent inertia, value appropriation. Innovation Strategy: Appropriating value and profiting from innovation Leader verses follower advantages; Teece’s model of competition and cooperation. Innovation Strategy: Protecting Innovation Patents, copyright and trademarks. Read textbook chapters and Intellectual Property reading. Innovation Strategy: Protecting Innovation Licensing and litigation, the anti-commons problem. Craigslist case. Technological change and disruptive innovation: Industry evolution. Technological change and disruptive innovation: Technological evolution; disruptive innovation.","Participation: Class participation is very important in this course and accounts for a significant amount of the final grade. I view class discussion as a way of learning from each other: you can learn a lot from listening to your fellow students and you can learn a lot from thinking about the comments you want to make. Most importantly it encourages you to think critically. Participation marks depend on class attendance, class conduct and the frequency and quality of classroom contributions. Case memos: There will be a total of 6 case studies, and you need to hand in (electronically) a case memo for each case. A case memo consists of one or two pages and will provide answers to the study questions posted on Canvas. Your best five case memos will be worth 4% each of the overall evaluation. You need to attend the class of the case discussion to obtain marks for the assignment. Non-attendance in the class case discussions will result in 50% of the memo grade. Simulations: During the course you will be participating in four strategic innovation and entrepreneurship simulations, developed by Harvard Business School: The Foodtruck Challenge, Breaking News, Crossing the Chasm and Back Bay Battery. All of the simulations will be done in groups in class. Your performance in each of the simulations is worth 2.5% of the evaluation. New Venture Simulation: In this online simulation, you will run a food truck in the city of Boomtown. Your goal is to achieve maximum revenue over 5 simulated weeks and win the """"Food Truck Challenge."""" In each round, you will make decisions about where to park and what menu item to offer in hopes of finding the best menu- location combination and yielding the highest sales. You will need to analyse market data and make a plan, but you will also need to make decisions as to whether to go to scale right away with the food truck, conduct further research and analysis, or to experiment with a low-capacity pushcart. Crossing the Chasm: Many new products and ventures fail in the marketplace. One reason for this is that most innovations fail to make a mark in the mainstream market. This simulation allows you to experience the frustrations and challenges of taking a disruptive innovation from initial success with early adopters to widespread adoption by the mainstream market. You will play the role of executives in a self-driving vehicle technology firm that has garnered significant attention from the early adopter market but is struggling to break in to the mainstream market. Investors are now looking for exponential growth through mainstream adoption. You will be tasked to assess the market segments that have shown interest in self-driving vehicles (SDVs), develop the appropriate product solution for their selected segments, and achieve the growth promised by the technology. Breaking News: You will manage the innovation process for a struggling newspaper. You will need to develop new ideas to counter the company’s declining sales, subscriptions, and web traffic. Working with limited time and budget, you must decide how to source new ideas and where to set priorities. You will then need to review the resulting list of ideas, evaluate and test them, and submit the best possible innovation strategy to the CEO. You will gain experience of managing innovation in an organization and the trade- offs between different types of innovation. Back Bay Battery: You will form part of the management team of a battery manufacturer. You will be responsible for determining the appropriate level and timing of R&D expenditures for both an existing technology and a new emerging energy storage technology. To be successful, you will need to formulate a comprehensive strategy and then adapt it as you adjust to the dynamic marketplace. You will need to identify the most critical pieces of data for analysis and make decisions in an uncertain environment. There are two criteria that form the basis of the assessment in this simulation: Cumulative profit over the duration of the simulation and “health of the business” in the final period. You will start by running a series of practice rounds in the simulation to gain familiarity with the business, the market and the interface. The simulation will then be reset and changed to “advanced” mode, where you will also need to make sales predictions. Presentation: There will be short student presentations in each class from the third week of the course. You are required to present (in small groups) a 5 minute presentation on an innovation of your choosing. In your presentation, you should explain: Why did you choose this innovation? Why is it important. What is the story behind the creative process behind the innovation? What enabled it to be discovered. How was the innovation commercialized? Who captured the profits. What course concepts are relevant to the innovation and the organisations involved.",
,"COMM 383, prev 386D",Innovation Leadership,"Learn frameworks from the social sciences that are useful for understanding organizational innovation processes. Apply these frameworks to particular situations. Sharpen your ability to diagnose and solve a broad range of organizational innovation challenges from the perspective of an innovation leader. Learn how to lead a start-up, innovation efforts in more established organizations, create innovation ecosystems and positive changes in society through innovation.","Using MBA style pedagogy, I will introduce you to frameworks from the social sciences that are useful for understanding organizational innovation processes and teach you how to apply these frameworks to particular situations. This course is designed to sharpen your ability to diagnose and solve a broad range of organizational innovation challenges from the perspective of an innovation leader. The lessons of the course have direct relevance to leading a start-up, leading innovation efforts in more established organizations, creating innovation ecosystems, and creating positive changes in society through innovation. You are expected to show a high level of commitment to preparing for class each day. You should expect to come to class and be pushed to think actively. I do not believe in passive learning. This means that information will not be packaged into lectures for you to memorize. Readings and suggested review readings and questions are provided to give grounding for each day’s discussion. You should come to class ready to absorb lessons from the examples we will discuss. Many class meetings will be organized around active interactive case or interview analyses. Failure to prepare adequately for the cases and interviews will jeopardize your ability to learn in this course. If you put in the appropriately high level of effort I assure you this will be a course you will not forget. By design, the composition of students in the class comes from a variety of disciplinary backgrounds. This course builds upon theories some of you may have learned in previous courses, and some of you have not. As such, you will be encouraged to re-review various theories as appropriate for our daily discussions. Do not worry if a particular theory or topic is suggested to review that you have not dealt with previously – some of your classmates likely have and some have not. In fact, if you are not familiar with a particular theory there is a good chance you will have a unique theoretical perspective from your own past courses, readings and experiences to draw upon and integrate to make the discussions even stronger. Please share your own unique experiences as appropriate to help others learn from them. The case analyses and interview discussions will take your level of theoretical understanding to a new level through applications that integrate across multiple disciplinary backgrounds to solve real innovation challenges.","Change definition - How well (i.e., thoroughly and concisely) do you describe the major societal challenge you are addressing, your definition of long-term success of the Vancouver innovation ecosystem addressing the challenge, the proposed change, the relevant parties, and the factors that are important to successfully implementing and leading the change? Data gathering - How well (i.e., thoroughly and appropriately) do you collect data to inform your change plan? This can take the form of interviews, survey questions, existing data, observations, etc. Integration of course concepts - How well do you integrate course concepts and academic literature (both from this course and previous courses) to facilitate successful implementation of your proposed change effort? Extent to which implementation plan recommendations are consistent with proposed change – Do your implementation plan recommendations match your proposed change? Feasibility and specificity of plan – Can this change plan be successfully initiated and led by a small group of students? Will it catch on and grow into a full systemic change? How specific is your implementation plan (including stages, intermediate goals, markers of success at each stage, key actors to gain support from, etc.)? Have you discussed potential barriers to change and how to overcome them? Quality of writing: Quality of oral presentation. Group Project: You will join a group at the end of class on Day 3. With that group you will conduct an innovation experience interview, of at least 30 minutes, with someone who works in an innovation role locally someplace in the Greater Vancouver area. Your interview subject should face the challenges of innovation either in a start-up or in an innovation focused group in an established organization. Your interview should discuss your interviewee’s organization, your interviewee’s specific role in innovation, the innovation successes and challenges experienced, and your interviewee’s perspective about the local innovation ecosystem. Your interviewee should be able to discuss the types of questions detailed below with an informed perspective.",
,COMM 386L,Impact Investing: Social Finance in the 21st Century,"Describe the history of impact investing, how it has grown, and its current status alongside socially responsible investing and ESG screening. Discuss how responsible investing fit in to the spectrum of sustainable finance opportunities. Describe major environmental, social, and governance (ESG) issues that responsible investors are concerned with. Analyze and compare different responsible investment strategies, including negative screening, corporate dialogue, proxy voting, and ESG integration. Evaluate impact investing in the Canadian context and be able to compare Canada to the UK and US in terms of legal structure, public policy, and future potential. Identify metrics used in evaluating social ventures, as well as where to find metrics resources and their relative strengths and weaknesses. Describe why measuring impact is important and understanding the challenges faced by social ventures in attempting to measure their own impact. Have a deep understanding of multiple sector-specific issues relevant to impact investing. Apply tools to analyze social venture performance at both early stage and growth stage for possible funding. Compare and contrast traditional portfolio management with new approaches such as Environmental, Social, and Governance criteria. Analyse and compare different forms of impact investing (e.g. Venture Capital/Private Equity (VC/PE), Social Impact Bonds (SIBs), and Demand Dividends). Create portfolio strategies specific to impact investing and be able to apply these strategies to real-life situations. Apply the tools and tactics learned in the course to evaluate impact investing opportunities.","Impact investing has emerged over the last decade as a new sector at the interface between philanthropy and investment. The sector currently represents over $1tn of investment capital. This course provides an introduction to the impact investment sector and the related responsible investing sector, describes the evolution of impact investment, the growth of new asset classes, and the opportunities and challenges faced by investors seeking meaningful impact investment vehicles. According to the Global Impact Investing Network (GIIN), impact investing is defined as “investments made into companies, organizations and funds with the intention to generate measurable social and environmental impact alongside a financial return”. Impact investing, has emerged over the past decade as one of the most talked about strategies for tackling social and environmental problems. With the goal of creating measurable impact in addition to financial returns, impact investing selects ventures working towards positive social or environmental outcomes.  The concepts of impact investing and social enterprise emerged out of a recognition that the private sector could also contribute to the development of social agendas, while gaining a financial return.  Rather than focusing solely on a risk-return nexus, impact investing broadens to the “triple bottom line” to include financial, social, and environmental gains. Related but distinct from impact investing, is the field of responsible investing (RI). According to the Responsible Investment Association of Canada (RIA), RI is refers to the incorporation of environmental, social and governance factors (ESG) into the selection and management of investments. RI focuses on public market investing, in both retail and institutional contexts, and encompasses a variety of portfolio construction and stewardship strategies, including proxy voting, filing shareholder resolutions and shareholder engagement. Through a combination of readings, discussions, guest lectures, research, a pitch competition and a portfolio allocation project, students will gain deep insight into the different perspectives brought by the impact investor who is concerned with stimulating social and environmental impact while generating financial return. Business students will complete the course having obtained a strong understanding of the positive impacts financial tools can have economically, socially, and environmentally. Students will also acquire practical knowledge of the tools and methodologies brought to impact investment decisions and assessments.","Disclosure Review Report, RI Portfolio Project, Impact Venture Brief, IM Presentation, Investment Project, News Alert. Success at achieving the learning outcomes will be measured by a combination of written assignments, oral presentation, class participation. Understanding and application of the material will be assessed through the quality of the research brief, pitch presentation, questions and responses during the pitch presentations, and the social venture analysis.",
,COMM 386I,Innovation and Sustainability,"Recognize the root cause of sustainability challenges. Critically evaluate businesses, products and sustainability initiatives. Expand their repertoire of innovation methods and tools. Understand current realities, market opportunities and issues related to sustainability across a range of industries and business functions. Synthesize, integrate and apply knowledge from both sustainability and innovation domains toward strategies for sustainable change  ","This course explores sustainability as an opportunity for innovation. The term sustainable business refers to competitively advantageous strategies and practices that firms adopt to grow revenues, cut costs, improve market share, enhance brands, and redesign products and processes to reduce or eliminate adverse environmental and social impacts. This course will consider and critique the multiple ways that sustainability is contested and understood across various industries, including its biophysical, political, economic, institutional, ethical and technological implications. Students will look at the drivers of corporate innovation, strategic shifts, and new markets; learn to identify innovation opportunities; and recognize the tools, concepts, standards and frameworks used by companies currently pursuing a sustainable business model. To introduce students to the fundamentals of sustainability, the fundamentals and innovation, and the shared nature and challenges of these two domains. To recognize innovation opportunities and potential levers for systemic change. To foster a culture of sustainability by exploring relevant case studies and real-world examples. To develop student expertise with concepts and tools commonly used by innovators.","Reflections Assignments: This course aims to regularly connect theory to the real world. At the end of many lectures, a challenge will be posed to find a real world example of a business or institution that exemplifies the models from the previous lecture. Groups will be randomly assigned, and will have until the start of the subsequent class to find an example and offer their own insights and opinions related to the topic. At the start of the next class, groups will summarize their findings and present back to the class. A presentation file as required by the assignment will be submitted to Canvas to fulfill the requirements of this assignment. There are no makes-ups for missed in-class exercises; attendance is required to earn these marks. Innovation Case Study: This assignment focuses on identifying examples of innovative sustainable products. The presentation will take the form of a sales pitch to the class in a maximum of five minutes. You can choose any product or service you like and think the class will enjoy. You need to cover the following items: What is social or environmental problem this product is designed to solve? What are the features or attributes of the product that reduce its impact relative to competitors? How price competitive is the product relative to the incumbents? What are the limitations of the product? Finish with a strong advertising tag line for the product. Case studies are used to apply the concepts, frameworks, and tools from the course, to learn how to analyze incomplete information, and to make decisions as an innovator. Each case is a real-world situation that actually happened, and students are given the same information that the protagonist had at the time. Working in pairs, students will use the course tools and concepts to analyze the information, make a decision, and explain why their decision is the best course of action. Investment Thesis: Investment is tightly coupled with innovation, and getting sustainable innovation to scale requires the infusion of capital from multiple sources. In this assignment, students approach sustainability from the perspective of an investor. Students will work in groups of their own choosing, and will form an investment strategy to deploy a fixed amount of capital to drive maximum impact in the sustainability domain where they most want to effect change. The end product will be an investment thesis with a prospective portfolio of companies, with justification for why those companies were selected tied back to the investment strategy. Emphasis will be placed on the key indicators and metrics that are being used to select the portfolio, acknowledging a need for both impact and financial performance. Investment Pitch: For this assignment, students will summarize their investment thesis into a succinct presentation that clearly articulates their proposed investment strategy and example portfolio. Half of the class will present on the first presentation day and the other half of the class will present in the second. You will be evaluated on the clarity of your arguments and your responses to questions from the other half of the class, who will be the playing the role of mock investors that you would like to convince to invest in your fund. A portion of your grade on this assignment will be determined by the amount of capital you secure from the mock investors. Investment Memo: On the day that your group is not presenting its investment memo, you will be playing the role of a mock investor, deciding in which investment fund(s) you would like to place your set amount of capital. As an investor, you will have the same amount of capital as your peers to allocate to whichever fund(s) you believe will achieve the greatest impact and financial returns. You will justify your decision in a short memo. Participation: Your participation grade considers your constructive involvement in class and your attendance. This is not a purely lecture-based course. Online discussion is a vital part of your learning experience. You will need to come to class prepared to discuss the day's case and readings and to respond to the ideas and comments of others. I expect your interactions to be well reasoned and respectful. No bystanders. Students will be expected to attend all classes. If you are unable to attend you will need to notify me of your absence in advance.",
,COMM 387/COMR 387/COEC 387,Entrepreneurial Finance and Private Equity,"Identify sources of business ideas for entrepreneurial ventures and analyze forces that are driving startup companies’ valuations. How to create a unicorn? Identify which metrics matter most when evaluating startups. Develop valuation frameworks and apply common private equity valuation methods to determine pricing of investment deals. Apply the ‘VC Method’. Learn market norms around valuation. Calculate ownership dilution across the life of a startup. Generate financial projections for startups at different stages of their life-cycle and critically evaluate startups’ business plans from the financial perspective. Differentiate between Priced Equity, Convertible Note, and SAFE Round. Navigate the complexities of raising capital for novel ideas and assess pros and cons of different sources of capital for entrepreneurial firms. Understand financial and governance negotiations. Negotiate key terms within entrepreneurial teams and understand how to prioritize contractual clauses in a term sheet negotiation. Understand market norms in term sheet negotiations. Identify startup ecosystem stakD9:D10eholders. Evaluate public policies towards the financing of entrepreneurs. Make recommendations on fundraising strategies for both entrepreneurs and private equity investors. Calculate the return of a VC/PE portfolio. Recognize and evaluate the risks and rewards for venture investors. Quantify and mitigate risk. Account for risks faced by venture founders and other venture stakeholders. Evaluate the risk-return tradeoff of private equity investors such as venture capital firms and describe return characteristics of private capital industry from the historical perspective. Assess available exit strategies for venture founders. Hear from investors about ‘lessons learned’. Develop a personal networking plan. ","The course covers entrepreneurial and private equity finance. It directly addresses questions of students wanting to become entrepreneurs in the near or more distant future, or those who seek key positions in startup companies. Motivated by increases in both the supply of and demand for private equity, the course provides understanding of the concepts and institutions involved in entrepreneurial finance and private equity markets. The course provides a necessary toolkit to those students who want to be active on the investing side, such as working for banks, venture capital firms, growth equity firms, or corporate venture organizations. It will also be useful to anyone who expects to be interacting with entrepreneurs and private equity investors, be it as suppliers, accountants, strategic partners, consultants, customers or other. Finally, this course is meant for anybody with a curious mind and a willingness to combine serious analysis with creative thinking. ","Students will submit six assignments. Assignments will be based on specific topics of discussion or numerical problems that will be presented in class. Students will be asked to submit a written response to assignment questions through UBC Canvas. Some assignments will have one question requiring a brief written essay-type response. Other assignments will consist of up to three numerical questions. There will be a case study that students are expected to read, analyze, present their findings submit a written report. Written reports will address specific discussion questions that will be presented in class. The report will be submitted through UBC Canvas. Reports will be evaluated based on clarity, accuracy, and rigour. Preparation for, as well as participation and professionalism in all class sessions, is expected and required. Students will be evaluated based on the quality of their engagement with the instructor during lectures and contribution to class discussions. The course may also use short participation quizzes that will be administered typically at the beginning of the class. The final exam will contain a mix of short-answer textual, multiple choice, and numerical questions. Students will be expected to demonstrate understanding and applications of all the theoretical constructs presented in class. The exam will be in-person implemented as a Canvas quiz or handwritten test. Students must be physically present in designated exam rooms and the exam will be invigilated.",
,COMM/COMR 388,Design Methods for Business Innovation,"Articulate a role for design in business and innovation: design processes and thinking strategies in a postcarbon economy. Use strategic design methods and tools effectively in a sustainable business context. Co-create, present and critique innovative ideas with external client partners. Integrate critical and creative thinking processes. Work effectively in teams in a studio practice environment.","As the business environment becomes more unpredictable, organizations will demand leaders who are capable of responding to the situation and making the most of the opportunity. Leadership will increasingly mean being comfortable with navigating ambiguity, as well as managing and motivating diverse teams of creative people. Truly innovative, disruptive technologies and processes will be needed to address the world’s problems.
The course provides students with studio-based experience applying design processes and thinking strategies for business innovation. Collaborating with an external client partner, interdisciplinary teams of students are challenged to deliver real-world solutions that create economic, social and environmental value using strategic design.
With an emphasis on identifying root problems, revealing compelling opportunities, and developing scalable solutions through iteration and prototyping, students acquire a design toolkit that can be applied in any context. Part creative ideation, part critical analysis, and part re- imagining systems, design processes and thinking strategies will be essential for doing business better. Course goals: Introduce strategic design for business and innovation in more inclusive systems.Foster a culture of creativity, risk- taking, personal enrichment and team collaboration. Build problem- solving capacity and develop business analysis processes. Develop leadership and capacities for self-expression.","Reflection 1, BMC & Siutational Analysis, Design Brief, Design Deep Dive, Reflection 2 tudents will be skilled in critical thinking.
Students will be skilled in analytical decision-making.
Students will be able to integrate knowledge from relevant business disciplines when making decisions. Students will be effective communicators with the ability to prepare and deliver oral and written presentations using appropriate technologies.
Students will be aware of ethical implications of business decisions and activities.
Students will be prepared to apply sustainability management principles and practices to business.",
,COMM 389,Creativity in Business,"Evaluate and cultivate creativity in oneself and others to strategically advance a collective creative culture. Analyse the factors that either hinder or enhance creativite problem-solving during collaborative ventures. Synthesize principles of observation, systems-thinking, design and storytelling to address and overcome complex, creative challenges at-scale. Design and implement hands-on creativity tools and collaborative processes to enhance group creativity. Construct a comprehensive understanding of your creative potential, discovering methods to harness, articulate and promote it. Develop ethical arguments and interact with information responsibly. Develop research skills and critically examine sources. Follow academic citation practices common to the Business disciplines. Create engaging, audience-focused presentations and documents that are informative & persuasive. Learn personal strategies for approaching creative challenges with writing & public speaking tools.","This course explores the principles and practices of creativity in a business context. Students will engage in interactive learning to enhance their creative thinking and problem-solving skills. In today's knowledge-driven world, creativity is crucial for solving complex business problems and driving company success. This course enhances your personal and professional creativity, teaching you to approach challenges and collaborate on professional projects innovatively. Emphasizing teamwork, the course explores how collective creativity can tackle organizational challenges and contribute to global goals like the UN's Sustainable Development Goals. Through a mix of individual and group activities, you'll learn the power and impact of creative collaboration. In this course, we integrate techniques from Systems Thinking, Sustainable Development, Deisng, Strategic Planning, Creativity & Innovation. Embracing a studio-based approach, the course features hands-on experiences and rich discussions. Students actively participate, provide iterative feedback to each other, and co-create the classroom space in each gathering of the class. Assignments and presentations use both digital (incl. Gen-AI) and analog tools. Collaborative group work and discussions are central to each class.",Portfolio of Minor Assignment (Analysis & Reflection). Group Project (Collaboration & Innovation). Individual Project (Creative Exploration) ,
,COMM 466/APSC486/APSC496A/E  = 2 Term Course,New Venture Design,"Recognize viable market opportunities. Create and analyze market assessment, secondary market research and customer discovery, primary market research. Develop profitable business model and an executable business plan. Protect the intellectual property at the heart of their technology company. Develop financial projections that are aligned with the fundamentals of the proposed business plan. Designing and building a prototype product. Work with students across disciplines, integrate creative business strategies with solid engineering. Make decisions in highly uncertain and unstructured environments, gather feedback, test assumptions, and ‘pivot’ to find alternative ideas or approaches that will improve the business model. Pitch their product, strategy and team to experienced entrepreneurs and investors","This course is interdisciplinary and entirely project based. The course provides students with an experience-based introduction into the process of starting a company. It is a real-life immersion into the process that founders go through when starting a high-tech company.
Student will be faced with the key issues involved in evaluating market opportunities, designing profitable business models, producing a solid business plan, developing a product, raising capital and developing a winning team. Students will gain the skills and tools to creatively commercialize high tech research into profitable businesses. All venture ideas are subject to Professors’ approval.
This course provides an experienced-based exposure to the process of starting technology-based entrepreneurial ventures. The course is suitable for students interested in finding out about the process of launching start-ups, and the multiple challenges associated with it. The main project is to develop an investor-ready pitch to investors about a start-up opportunity that is identified by a team of students. This course is hosted jointly between the Sauder School of Business and the Faculty of Applied Sciences and is also open to undergraduate entrepreneurial-minded student across UBC. The course harnesses Steve Blank’s Lean Launch Pad methodologies.","Personal Profile (individual). Idea Pitch (individual). Three Lead Idea Presentation (group). Customer Discovery Report (group). Lead Idea Presentation (group). Term 1 Reflection (individual). Technical & Product Plan (group). Customer Creation Validation (group). Final Presentation (group). Final Prototype (group). Term 2 Reflection (individual) Labs: Labs are a team deliverable where you regularly present your progress based on milestones and defined criteria. Lab formats differ throughout the year as you work on developing your business model and prototype. Presentations may be executed in front of some or all of the teaching team who will provide constructive feedback based on real industry experience; or in front of the class who will provide peer perspective. Mid-Term and Final Deliverables: These are major deliverables summarizing work completed at the end of each term. These deliverables relate to both the business and technical components of the venture and rely on the input and coordination of all team members. Founder’s Agreement: Teams will be required to submit a Founder’s agreement Memorandum of Understanding as a prelude to a Founder’s Agreement. Individual Reflection Assignment: The reflective diary is an opportunity to think introspectively. Drawing lessons from what was learned through the course, students should reflect on a cross-section of the topics taught and connect these with personal experience. Depth and breadth of reflective thinking should be evident in a diary. We recommend making notes weekly in a journal (best practices based on former students’ experience); however, the graded component is a final summary of what was learned from the entire course that is most useful as one looks forward as an entrepreneur and innovator. Students are meant to draw upon weekly entries for inspiration, and not cut and paste them. Don’t regurgitate what was taught. Reflect on what YOU learned and the impact that this has or will have. Participation: This is an individual assessment. This is not a lecture-based course; therefore, classroom discussion and activities are a vital part of the learning experience. Treat class like a business meeting: phones on silent and put away; laptops are closed as a default and only opened when Professors request it; be on time; come fed or be willing to wait until after class to eat, etc. Participation is the grade that the Professors give each individual student based on their professionalism and constructive involvement in-class (during plenary and team discussions, in the activities, as well individual attitude, lateness, etc.). So, in short, participation are grades students earn by being a positive and constructive member of the community during class time (from the Professors’ perspective), and iPeer (see below- student’s perspective) may be used as evidence to deduct grades from a student’s overall course grade in the event of poor contribution to the team effort (such as free-riding) in and outside of class. Beyond in-class participation, active use of the Slack channel will also be assessed as part of the participation grades. Failure of the team to use the Slack channel actively will impact the participation grade of all team members. Where we have speakers in class, it is expected that students are prepared and interaction with guests will be evaluated as part of participation. Finally, Weekly Team summaries are recommended (see details on Canvas). APSC Design and Innovation (Day) Event: Students are required to present their project to the public during the APSC design and innovation event. The format will be determined by APSC.",
