course_code,competency,competency_score,keyword_score,total_score
COMM 280 (102-103/201-202),Entrepreneurial Mindset,0.6945692300796509,0.2855645213276148,0.49006687570363283
COMM 280 (102-103/201-202),Opportunity Recognition,0.24149318411946297,0.3462266568094492,0.2938599204644561
COMM 280 (102-103/201-202),Market Research,0.2718224264681339,0.3718418153002858,0.32183212088420987
COMM 280 (102-103/201-202),Product Development,0.19867624901235104,0.3843671828508377,0.29152171593159437
COMM 280 (102-103/201-202),Marketing,0.29932989180088043,0.24083146825432777,0.2700806800276041
COMM 280 (102-103/201-202),Business Modeling,0.3907944969832897,0.5975096747279167,0.4941520858556032
COMM 280 (102-103/201-202),Managerial Decision Making,0.18890901282429695,0.3450331366620958,0.26697107474319637
COMM 280 (102-103/201-202),Legal ,0.24097192846238613,0.14120653388090432,0.19108923117164522
COMM 280 (102-103/201-202),Financial Decision Making,0.42507936526089907,0.428243663161993,0.42666151421144605
COMM 280 (102-103/201-202),Observational skills,0.3650585636496544,0.6006772108376026,0.4828678872436285
COMM 280 (102-103/201-202),Creativity skills,0.34013961255550385,0.6699469350278378,0.5050432737916708
COMM 280 (102-103/201-202),Problem solving skills,0.42246972024440765,0.38603099435567856,0.4042503573000431
COMM 280 (102-103/201-202),Communication skills,0.254018098115921,0.5183552950620651,0.3861866965889931
COMM 280 (102-103/201-202),Decision-making skills,0.5419686250388622,0.8081609606742859,0.6750647928565741
COMM 280 (102-103/201-202),Planning and project managing skills,0.47345514595508575,0.7063048183917999,0.5898799821734428
COMM 280 (102-103/201-202),Networking skills,0.09347478672862053,0.3956614136695862,0.24456810019910336
COMM 280 (102-103/201-202),Negotiating skills,0.08037305856123567,0.2678996156901121,0.1741363371256739
COMM 280 (102-103/201-202),Self-Aware,0.45005054399371147,0.8233945071697235,0.6367225255817175
COMM 280 (102-103/201-202),Enterprising Traits,0.5857647135853767,0.5175725482404232,0.5516686309129
COMM 280 (102-103/201-202),Self-Directed,0.3050932800688315,0.47968708514235914,0.39239018260559533
COMM 280 (102-103/201-202),Teamwork,0.40814994904212654,0.3180092070251703,0.36307957803364843
COMM 280 (102-103/201-202),Uncertainty Management,0.13092714408412576,0.6329867336899042,0.381956938887015
COMM 280 (101 + 203),Entrepreneurial Mindset,0.6187357753515244,0.3948920383118093,0.5068139068316668
COMM 280 (101 + 203),Opportunity Recognition,0.2690933421254158,0.3592617381364107,0.31417754013091326
COMM 280 (101 + 203),Market Research,0.2498879535123706,0.3596942815929651,0.30479111755266786
COMM 280 (101 + 203),Product Development,0.23645683750510216,0.5806377902626991,0.40854731388390064
COMM 280 (101 + 203),Marketing,0.2719133794307709,0.2925084326416254,0.28221090603619814
COMM 280 (101 + 203),Business Modeling,0.5812726654112339,0.7891162782907486,0.6851944718509912
COMM 280 (101 + 203),Managerial Decision Making,0.04583365606958978,0.21522934176027775,0.13053149891493376
COMM 280 (101 + 203),Legal ,0.08839980745688081,0.03730386453389656,0.06285183599538868
COMM 280 (101 + 203),Financial Decision Making,0.38103393465280533,0.3803380969911814,0.38068601582199335
COMM 280 (101 + 203),Observational skills,0.263587165158242,0.5604648916050792,0.4120260283816606
COMM 280 (101 + 203),Creativity skills,0.3706909753382206,0.8926404565572739,0.6316657159477472
COMM 280 (101 + 203),Problem solving skills,0.3217876843409613,0.4327807081863284,0.37728419626364484
COMM 280 (101 + 203),Communication skills,0.5837627500295639,0.758806400001049,0.6712845750153065
COMM 280 (101 + 203),Decision-making skills,0.10817125486209989,0.6330907940864563,0.3706310244742781
COMM 280 (101 + 203),Planning and project managing skills,0.23049611109308898,0.6171952709555626,0.4238456910243258
COMM 280 (101 + 203),Networking skills,0.0632967792917043,0.5055965501815081,0.2844466647366062
COMM 280 (101 + 203),Negotiating skills,0.03217382825096138,0.2265571253374219,0.12936547679419164
COMM 280 (101 + 203),Self-Aware,0.25264741480350494,0.7773628681898117,0.5150051414966583
COMM 280 (101 + 203),Enterprising Traits,0.5430772043764591,0.627870786935091,0.5854739956557751
COMM 280 (101 + 203),Self-Directed,0.05826851772144437,0.5360219436697662,0.2971452306956053
COMM 280 (101 + 203),Teamwork,0.4514005705714226,0.2440587927121669,0.34772968164179474
COMM 280 (101 + 203),Uncertainty Management,0.11014783883001655,0.5074924528598785,0.30882014584494755
COMM 382/COMR 382,Entrepreneurial Mindset,0.6143823604692112,0.32225426692854275,0.468318313698877
COMM 382/COMR 382,Opportunity Recognition,0.3535815032029694,0.2993826968172057,0.32648210001008754
COMM 382/COMR 382,Market Research,0.3245762418108908,0.36625927847556095,0.3454177601432259
COMM 382/COMR 382,Product Development,0.32865522856908763,0.4365622414783998,0.3826087350237437
COMM 382/COMR 382,Marketing,0.3107576537877321,0.3064750283109871,0.30861634104935964
COMM 382/COMR 382,Business Modeling,0.34630095662379806,0.3839674869721586,0.36513422179797833
COMM 382/COMR 382,Managerial Decision Making,0.36297963707792485,0.42564579099416733,0.39431271403604606
COMM 382/COMR 382,Legal ,0.103255611251701,0.10688101788136092,0.10506831456653096
COMM 382/COMR 382,Financial Decision Making,0.3192139561288059,0.2396611919287931,0.2794375740287995
COMM 382/COMR 382,Observational skills,0.3862523873421279,0.6667862602255561,0.526519323783842
COMM 382/COMR 382,Creativity skills,0.5588363815437664,0.6783302114768461,0.6185832965103062
COMM 382/COMR 382,Problem solving skills,0.5390399494631724,0.4222017205743627,0.4806208350187675
